"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Feb 13 20:46:31 UTC 2023","Mon Feb 13 20:46:35 UTC 2023","3959","Google Chrome","second.spec.js","","","","Checking list's",""
"passed","Mon Feb 13 20:46:34 UTC 2023","Mon Feb 13 20:46:45 UTC 2023","10901","Google Chrome","third.spec.js","","","","Login Page checking input with screenshot error message",""
"passed","Mon Feb 13 20:46:20 UTC 2023","Mon Feb 13 20:46:35 UTC 2023","14404","Google Chrome","fourth.spec.js","","","","Registration checking input plus error message",""
"passed","Mon Feb 13 20:46:20 UTC 2023","Mon Feb 13 20:46:31 UTC 2023","11308","Google Chrome","first.spec.js","","","","Main page , checking main-menu",""
"passed","Mon Feb 13 20:46:20 UTC 2023","Mon Feb 13 20:46:34 UTC 2023","13554","Google Chrome","fifth.spec.js","","","","Task page checking list",""
